split,bin,mean_score,actual_positive_rate
validation,1,5.503370901238609e-07,0.0
validation,2,3.5735600582393958e-06,0.0001988862370723946
validation,3,8.899458048934352e-06,0.0001988862370723946
validation,4,1.7581385316505217e-05,0.0001988862370723946
validation,5,3.175735898599096e-05,0.0
validation,6,5.562661789638768e-05,0.0001988862370723946
validation,7,0.00010040554800458642,0.0003977724741447892
validation,8,0.00019353376571930886,0.0007955449482895784
validation,9,0.0004720118075840556,0.0007955449482895784
validation,10,0.0284909050969178,0.012728719172633254
test,1,5.863018149324405e-07,0.0013922036595067622
test,2,3.7948645805725584e-06,0.0007955449482895784
test,3,9.432660066455368e-06,0.0005966587112171838
test,4,1.8436312514581614e-05,0.0003977724741447892
test,5,3.3335927768400576e-05,0.0007955449482895784
test,6,5.883505667710631e-05,0.00019892580067634773
test,7,0.00010641597713425161,0.0001988862370723946
test,8,0.00020902788564014526,0.000994431185361973
test,9,0.000516465414672395,0.0001988862370723946
test,10,0.018819595897822068,0.005171042163882259
out_of_time,1,5.25805759916072e-07,0.0005966587112171838
out_of_time,2,3.543559434396889e-06,0.0002983293556085919
out_of_time,3,9.09360471289504e-06,0.0002983293556085919
out_of_time,4,1.8025687967649972e-05,0.0017899761336515514
out_of_time,5,3.2730833571845636e-05,0.0005966587112171838
out_of_time,6,5.864903610158882e-05,0.0
out_of_time,7,0.00010638374681554669,0.0011933174224343676
out_of_time,8,0.00020837751061248268,0.0005966587112171838
out_of_time,9,0.0005118228988514281,0.0017899761336515514
out_of_time,10,0.018757882925753592,0.009248210023866348
